start_time,end_time,speaker,text
0:08:10,0:08:14,Person 2,So next is the red one.
0:08:14,0:08:16,Person 2,"It looks like a triangle, single dot one."
0:08:18,0:08:20,Person 1,Now you can see properly.
0:08:19,0:08:21,Person 2,"Yeah, yeah."
0:08:22,0:08:24,Person 2,"Red color, single dot one."
0:08:24,0:08:28,Person 1,"Red color, single dot, one second."
0:08:28,0:08:30,Person 2,It will be like a triangle.
0:08:30,0:08:32,Person 1,Triangle.
0:08:36,0:08:38,Person 1,Like this?
0:08:38,0:08:40,Person 1,This one?
0:08:40,0:08:42,Person 2,"No, no, not that one."
0:08:42,0:08:44,Person 2,Maybe darker red maybe.
0:08:44,0:08:46,Person 2,"Darker red dot, pink."
0:08:46,0:08:48,Person 1,"Okay, this one?"
0:08:48,0:08:50,Person 1,"Yeah, I think this one, right?"
0:08:49,0:08:52,Person 2,"Yeah, yeah, that one."
0:08:52,0:08:54,Person 1,"Okay, where should I keep this?"
0:08:54,0:08:56,Person 2,"On the four dot one, edge of the four dot."
0:08:56,0:08:58,Person 1,Okay.
0:08:58,0:09:00,Person 2,This side one and that side other one.
0:09:00,0:09:02,Person 1,Okay.
0:09:04,0:09:08,Person 2,"No, it should be joined, there should be no gap between."
0:09:08,0:09:10,Person 1,"Okay, like inside, okay."
0:09:16,0:09:18,Person 2,"No, the other way around."
0:09:18,0:09:20,Person 2,The other way around.
0:09:19,0:09:20,Person 1,Sorry.
0:09:20,0:09:22,Person 2,They should be like converging.
0:09:22,0:09:24,Person 1,Like this?
0:09:24,0:09:26,Person 2,Yeah.
0:09:30,0:09:32,Person 1,Okay.
0:09:32,0:09:34,Person 2,Now try the transparent block.
0:09:35,0:09:37,Person 1,Which color?
0:09:36,0:09:38,Person 2,"Transparent, transparent, white one."
0:09:38,0:09:40,Person 1,"Transparent, okay, white transparent."
0:09:40,0:09:42,Person 2,Okay.
0:09:42,0:09:44,Person 2,Stick it in the middle of the pink one.
0:09:44,0:09:46,Person 2,There is a gap between the pink triangle.
0:09:46,0:09:48,Person 1,"This one, right?"
0:09:48,0:09:50,Person 2,I am not able to see the model.
0:09:50,0:09:52,Person 2,"Yeah, now wait."
0:09:52,0:09:54,Person 2,Not that one.
0:09:54,0:09:56,Person 2,"It's like transparent glass, like two dot model."
0:09:56,0:09:58,Person 1,"Okay, okay, okay, glass."
0:09:58,0:10:00,Person 1,Okay.
0:10:04,0:10:06,Person 2,It goes above the pink color one.
0:10:06,0:10:08,Person 2,"Center of the pink color, yeah."
0:10:08,0:10:10,Person 1,Like this?
0:10:10,0:10:12,Person 2,Yeah.
0:10:14,0:10:15,Person 1,Okay.
0:10:14,0:10:16,Person 2,"Pink color, single dot, triangle one."
0:10:16,0:10:18,Person 1,"Pink color, single dot, triangle."
0:10:18,0:10:20,Person 2,"Yeah, triangle."
0:10:20,0:10:22,Person 2,"Looks like triangle, yeah."
0:10:22,0:10:24,Person 1,This one?
0:10:24,0:10:26,Person 2,"Yeah, both corners."
0:10:26,0:10:28,Person 1,"This one, one, and that one."
0:10:28,0:10:30,Person 2,"No, no, no, no."
0:10:30,0:10:32,Person 2,"To the left of the block, transparent block, yeah."
0:10:32,0:10:34,Person 2,"No, there shouldn't be any gap."
0:10:34,0:10:36,Person 1,Okay.
0:10:36,0:10:38,Person 2,It should converge.
0:10:38,0:10:40,Person 1,This one?
0:10:40,0:10:42,Person 2,"It should converge, not like the other way around."
0:10:42,0:10:44,Person 1,Okay.
0:10:48,0:10:50,Person 1,That's it like this?
0:10:50,0:10:52,Person 2,Yeah.
0:10:52,0:10:54,Person 1,Okay.
0:10:54,0:10:56,Person 2,"Now pink color, single block."
0:10:56,0:10:58,Person 1,Okay.
0:10:58,0:11:00,Person 2,"Small one, it's a small one."
0:11:00,0:11:02,Person 2,Okay.
0:11:02,0:11:04,Person 1,Okay.
0:11:04,0:11:06,Person 2,"Small one, it's above one goes above the pink triangle one."
0:11:06,0:11:08,Person 1,Okay.
0:11:08,0:11:10,Person 2,There's anothers one.
0:11:10,0:11:12,Person 2,"That goes on the other one, yeah."
0:11:12,0:11:14,Person 1,Okay.
0:11:14,0:11:16,Person 2,"And there's a red, two block."
0:11:16,0:11:18,Person 2,"Two block, okay."
0:11:18,0:11:20,Person 1,This one?
0:11:20,0:11:22,Person 2,"Yeah, that goes on the center."
0:11:22,0:11:24,Person 2,I'm not able to see the model.
0:11:24,0:11:26,Person 2,Yeah.
0:11:26,0:11:28,Person 1,Yeah.
0:11:28,0:11:30,Person 2,"The pink color, it should converge like with the two blocks."
0:11:30,0:11:32,Person 2,Okay.
0:11:32,0:11:34,Person 2,It should converge like with the two dots.
0:11:34,0:11:36,Person 2,There should be any gap between them.
0:11:36,0:11:38,Person 1,This?
0:11:38,0:11:40,Person 1,Opposite?
0:11:39,0:11:40,Person 2,Yeah.
0:11:40,0:11:42,Person 2,"No, do it in the opposite way."
0:11:42,0:11:44,Person 2,It should converge.
0:11:44,0:11:46,Person 2,Not this.
0:11:46,0:11:48,Person 2,"It should occupy both the dots, but in opposite way."
0:11:48,0:11:50,Person 2,"You're doing it in 90 degree, but I'm asking 180 degree."
0:11:50,0:11:52,Person 2,"Yeah, that way."
0:11:52,0:11:54,Person 2,Change another 90 degree to the left.
0:11:54,0:11:56,Person 2,To the left.
0:11:56,0:11:58,Person 1,Okay.
0:11:58,0:12:00,Person 2,Okay.
0:12:00,0:12:02,Person 2,To the left.
0:12:02,0:12:04,Person 1,"Okay, then it's like this, yeah."
0:12:04,0:12:06,Person 1,Show me the model.
0:12:06,0:12:08,Person 2,I'm not able to see.
0:12:08,0:12:10,Person 2,"No, the two dots, there shouldn't be any empty block in the pink one."
0:12:10,0:12:12,Person 2,Yeah.
0:12:12,0:12:14,Person 2,Opposite way.
0:12:14,0:12:16,Person 1,This?
0:12:16,0:12:18,Person 2,"No, opposite."
0:12:18,0:12:20,Person 2,Yeah.
0:12:20,0:12:22,Person 2,Same like that.
0:12:22,0:12:24,Person 1,Okay.
0:12:24,0:12:26,Person 1,Okay then.
0:12:26,0:12:28,Person 2,"Now the red one is not like, two block red one."
0:12:28,0:12:30,Person 2,It should have a stick in between them.
0:12:30,0:12:32,Person 1,Like this?
0:12:32,0:12:34,Person 2,"No, it should have a little bit middle like projection like."
0:12:34,0:12:36,Person 2,"Yeah, that one."
0:12:36,0:12:38,Person 2,That one you're holding.
0:12:38,0:12:40,Person 1,So this one comes this side or that side?
0:12:40,0:12:42,Person 2,The stick should come out on the side which has the red triangle blocks outside.
0:12:54,0:12:55,Person 1,Okay.
0:12:59,0:13:00,Person 1,Okay.
0:13:02,0:13:04,Person 2,"Yeah, correct."
0:13:04,0:13:06,Person 2,"Now two dark red, triangle ones will be there."
0:13:06,0:13:08,Person 2,Single.
0:13:08,0:13:10,Person 1,"Two dark red, triangle."
0:13:16,0:13:17,Person 1 ,Two dark red?
0:13:18,0:13:20,Person 1,This one?
0:13:20,0:13:22,Person 2,Single one. Show me.
0:13:22,0:13:24,Person 2,"No, it's not able to see."
0:13:24,0:13:26,Person 2,It should be in triangle.
0:13:26,0:13:28,Person 2,"Yeah, it isn't triangle."
0:13:28,0:13:30,Person 1,"No, I think it's not."
0:13:30,0:13:32,Person 2,Dark red triangle one.
0:13:32,0:13:34,Person 1,This one?
0:13:34,0:13:36,Person 2,It will above. Show it little above.
0:13:38,0:13:40,Person 2,Not single dot.
0:13:40,0:13:42,Person 2,Single dot red one.
0:13:42,0:13:44,Person 2,"Triangle, yeah."
0:13:44,0:13:46,Person 1,Yeah.
0:13:44,0:13:46,Person 2,Yeah.
0:13:46,0:13:48,Person 2,"Okay, wait."
0:13:48,0:13:50,Person 2,Stick it in the top so that it converges.
0:13:50,0:13:52,Person 2,There will be another one of it.
0:13:52,0:13:54,Person 1,Okay.
0:13:54,0:13:56,Person 2,"It should converge, not like it should have a gap."
0:13:58,0:14:00,Person 1,Okay.
0:14:00,0:14:02,Person 2,"It should have the last two dots,"
0:14:02,0:14:04,Person 2,but it should be in converging. The triangle should be converging.
0:14:04,0:14:06,Person 1,Okay.
0:14:06,0:14:07,Person 1,This?
0:14:07,0:14:08,Person 2,Show me.
0:14:08,0:14:10,Person 2,"No, it should be converging. This is not converging."
0:14:10,0:14:12,Person 2,This is opposite side of it. Yeah.
0:14:12,0:14:14,Person 2,Stick it in the opposite side of it.
0:14:14,0:14:16,Person 2,Yeah.
0:14:18,0:14:20,Person 1,Okay.
0:14:20,0:14:21,Person 2,Yeah.
0:14:21,0:14:22,Person 1,Okay.
0:14:22,0:14:28,Person 2,"Now, look for the one which is like a helicopter with four cross, X cross, black color cross."
0:14:28,0:14:30,Person 1,"Yeah, this one?"
0:14:30,0:14:32,Person 2,Yeah.
0:14:32,0:14:40,Person 2,And take two dots which will look like a triangle and rectangle.
0:14:40,0:14:42,Person 2,"It will be like,"
0:14:42,0:14:44,Person 2,be able to see anything with two dots like white color ones.
0:14:44,0:14:46,Person 2,Show me. Show me the one.
0:14:45,0:14:46,Person 1,This one?
0:14:48,0:14:50,Person 2,"Yeah, that one. Yeah."
0:14:50,0:14:52,Person 1,"Okay, where should I keep this?"
0:14:52,0:14:54,Person 2,Above the fans.
0:14:54,0:14:56,Person 2,"Above the, each, there will be four pieces of it."
0:14:56,0:14:57,Person 1,Okay.
0:14:56,0:14:58,Person 2,"Each goes at one, one arm of the X."
0:14:58,0:15:00,Person 1,Okay.
0:15:09,0:15:11,Person 2,That's the way it looks like a fan.
0:15:11,0:15:12,Person 2,Show me.
0:15:12,0:15:14,Person 1,"Yeah, one second."
0:15:14,0:15:16,Person 1,I will keep building it.
0:15:16,0:15:18,Person 1,"So, is it correct?"
0:15:18,0:15:22,Person 2,"No, not this way around."
0:15:22,0:15:28,Person 2,"Like, stick the ones all in the same direction."
0:15:32,0:15:38,Person 2,"Like, how you paste one same, like, go paste for all other sides."
0:15:38,0:15:40,Person 2,You have now interchanged two of the sides.
0:15:42,0:15:44,Person 1,Okay.
0:15:52,0:15:54,Person 2,Show me.
0:15:54,0:15:56,Person 2,"No, it's not."
0:15:56,0:15:58,Person 2,"No, not like that."
0:15:58,0:16:00,Person 2,"First one, just paste the first one."
0:16:00,0:16:06,Person 2,"And how you paste, how you building the first one, paste the same way for the other three also."
0:16:06,0:16:08,Person 1,Can you see this?
0:16:06,0:16:08,Person 2,Don't change.
0:16:08,0:16:10,Person 1,Can you see now? Okay.
0:16:10,0:16:12,Person 1,"I am pasting this like this, okay."
0:16:12,0:16:14,Person 2,Show me.
0:16:14,0:16:18,Person 2,"Yeah, same way do the next one also."
0:16:20,0:16:22,Person 2,The two dots.
0:16:24,0:16:26,Person 2,Yes.
0:16:26,0:16:28,Person 1,Correct.
0:16:28,0:16:32,Person 2,"No, not the other, keep it in the other way around."
0:16:40,0:16:42,Person 2,Show me.
0:16:42,0:16:44,Person 1,"Wait, wait, wait."
0:16:44,0:16:46,Person 1,I haven't filled.
0:16:46,0:16:50,Person 1,"I think only one option is there, like this we can keep."
0:16:50,0:16:52,Person 1,There is only one option to keep.
0:16:52,0:16:54,Person 1,Can you see now?
0:16:54,0:16:56,Person 2,"No, not able to see."
0:16:56,0:16:58,Person 2,Yeah.
0:16:58,0:17:00,Person 2,A little above.
0:17:02,0:17:04,Person 2,Take your hand a little bit.
0:17:04,0:17:06,Person 2,"Yeah, yeah."
0:17:06,0:17:08,Person 2,A little below now.
0:17:08,0:17:10,Person 1,Okay.
0:17:22,0:17:24,Person 1,Can you see now?
0:17:24,0:17:26,Person 2,Yeah.
0:17:26,0:17:28,Person 1,Can you see now?
0:17:28,0:17:30,Person 2,"Yeah, yeah."
0:17:38,0:17:40,Person 1,"You can see now, right?"
0:17:40,0:17:42,Person 2,"Yeah, little below."
0:17:42,0:17:44,Person 2,"Just a corner, yeah."
0:17:50,0:17:52,Person 1,"Now, fine, right?"
0:17:52,0:17:54,Person 2,It again went back to the corner.
0:17:54,0:17:56,Person 2,"Yeah, now it's fine."
0:17:56,0:17:58,Person 1,Okay.
0:17:58,0:18:02,Person 1,"So only way, it's like this way we can able to build this fan."
0:18:02,0:18:04,Person 2,"Yeah, yeah."
0:18:04,0:18:08,Person 2,But it looks different from now.
0:18:08,0:18:12,Person 1,Because that's the only way we can able to do that actually.
0:18:12,0:18:14,Person 2,"No, but the picture is just like different."
0:18:14,0:18:16,Person 2,You should keep it in the opposite I guess.
0:18:16,0:18:18,Person 2,Try doing it in the opposite way.
0:18:34,0:18:36,Person 1,Is it?
0:18:36,0:18:38,Person 2,"Yeah, this is it."
0:18:38,0:18:40,Person 1,Okay.
0:18:40,0:18:44,Person 2,"Now keep it in the projection in the red block, right?"
0:18:44,0:18:46,Person 1,Can you see that?
0:18:46,0:18:48,Person 2,Now it's in the car again.
0:18:48,0:18:50,Person 2,Yeah.
0:18:50,0:18:52,Person 2,Let it be there.
0:18:52,0:18:54,Person 2,Like keep it in the projection.
0:18:54,0:18:56,Person 2,"Keep the fan inside the projection, yeah."
0:18:56,0:18:58,Person 1,Okay.
0:18:58,0:19:00,Person 1,"Now, fine, right?"
0:19:00,0:19:02,Person 2,Yeah.
0:19:02,0:19:04,Person 3,"Keep it in the projection, yeah."
0:19:04,0:19:06,Person 1,Like this?
0:19:06,0:19:08,Person 1,Yeah.
0:19:08,0:19:10,Person 3,Okay.
0:19:10,0:19:12,Person 3,That's what you need to do.
0:19:12,0:19:14,Person 1,That's it.
0:19:14,0:19:16,Person 1,Okay.
0:19:16,0:19:18,Person 3,Now you can hang up.
0:19:22,0:19:24,Person 3,"Yes, you got it."
