ai_row,ai_start,ai_end,ai_speaker,ai_text,corrected_start,corrected_end,corrected_speaker,corrected_text,speaker_match,text_match,word_differences,match_status
272,0:12:58,0:13:00,Person 3,Okay.,,,,,,,,UNMATCHED
273,0:13:00,0:13:02,Person 3,Okay.,,,,,,,,UNMATCHED
277,0:13:08,0:13:10,Person 2,"Two dark red, triangle.",,,,,,,,UNMATCHED
278,0:13:10,0:13:12,Person 1,"Two dark red, triangle.",,,,,,,,UNMATCHED
279,0:13:12,0:13:14,Person 1,"Two dark red, triangle.",,,,,,,,UNMATCHED
280,0:13:14,0:13:16,Person 3,"Two dark red, triangle.",,,,,,,,UNMATCHED
281,0:13:16,0:13:18,Person 1,"Two dark red, triangle.",,,,,,,,UNMATCHED
282,0:13:18,0:13:20,Person 2,This one?,,,,,,,,UNMATCHED
287,0:13:28,0:13:30,Person 3,"No, I think it's not.",,,,,,,,UNMATCHED
291,0:13:38,0:13:40,Person 3,Not single dot.,,,,,,,,UNMATCHED
297,0:13:50,0:13:52,Person 3,There will be another one of it.,,,,,,,,UNMATCHED
298,0:13:52,0:13:54,Person 2,Okay.,,,,,,,,UNMATCHED
300,0:13:58,0:14:00,Person 3,Okay.,,,,,,,,UNMATCHED
308,0:14:14,0:14:16,Person 3,Yeah.,,,,,,,,UNMATCHED
309,0:14:18,0:14:20,Person 3,Okay.,,,,,,,,UNMATCHED
311,0:14:28,0:14:30,Person 2,"Yeah, this one?",,,,,,,,UNMATCHED
312,0:14:30,0:14:32,Person 1,Yeah.,,,,,,,,UNMATCHED
317,0:14:46,0:14:48,Person 3,This one?,,,,,,,,UNMATCHED
320,0:14:52,0:14:54,Person 1,Above the fans.,,,,,,,,UNMATCHED
323,0:14:58,0:15:00,Person 2,Okay.,,,,,,,,UNMATCHED
324,0:15:00,0:15:02,Person 2,That's the way it looks like a fan.,,,,,,,,UNMATCHED
325,0:15:04,0:15:06,Person 3,Show me.,,,,,,,,UNMATCHED
326,0:15:06,0:15:08,Person 2,"Yeah, one second.",,,,,,,,UNMATCHED
327,0:15:08,0:15:10,Person 3,I will try to see.,,,,,,,,UNMATCHED
328,0:15:10,0:15:12,Person 1,Okay.,,,,,,,,UNMATCHED
336,0:15:42,0:15:44,Person 3,Okay.,,,,,,,,UNMATCHED
337,0:15:52,0:15:54,Person 3,Show me.,,,,,,,,UNMATCHED
338,0:15:54,0:15:56,Person 1,"No, it's not.",,,,,,,,UNMATCHED
347,0:16:20,0:16:22,Person 3,The two dots.,,,,,,,,UNMATCHED
349,0:16:26,0:16:28,Person 3,Correct.,,,,,,,,UNMATCHED
351,0:16:40,0:16:42,Person 3,Show me.,,,,,,,,UNMATCHED
358,0:16:56,0:16:58,Person 3,Yeah.,,,,,,,,UNMATCHED
361,0:17:04,0:17:06,Person 3,"Yeah, yeah.",,,,,,,,UNMATCHED
363,0:17:08,0:17:10,Person 3,Okay.,,,,,,,,UNMATCHED
365,0:17:24,0:17:26,Person 3,Yeah.,,,,,,,,UNMATCHED
367,0:17:28,0:17:30,Person 3,"Yeah, yeah.",,,,,,,,UNMATCHED
376,0:18:02,0:18:04,Person 1,"Yeah, yeah.",,,,,,,,UNMATCHED
382,0:18:34,0:18:36,Person 3,Is it?,,,,,,,,UNMATCHED
383,0:18:36,0:18:38,Person 3,"Yeah, this is it.",,,,,,,,UNMATCHED
384,0:18:38,0:18:40,Person 3,Okay.,,,,,,,,UNMATCHED
385,0:18:40,0:18:44,Person 1,"Now keep it in the projection in the red block, right?",,,,,,,,UNMATCHED
386,0:18:44,0:18:46,Person 2,Can you see that?,,,,,,,,UNMATCHED
388,0:18:48,0:18:50,Person 3,Yeah.,,,,,,,,UNMATCHED
389,0:18:50,0:18:52,Person 3,Let it be there.,,,,,,,,UNMATCHED
392,0:18:56,0:18:58,Person 3,Okay.,,,,,,,,UNMATCHED
